EFREI 1A TOP - TP1;EX01 - Hello World (5ba220b67c4cd1000f02b7f8)
EFREI 1A TOP - TP1;EX02 - Affectation (5ba220b47c4cd1000f02b7f4)
EFREI 1A TOP - TP1;EX03 - Saisie (5ba220b27c4cd1000f02b7f0)
EFREI 1A TOP - TP1;EX04 - Évaluation d'une expression et affectation du résultat (5ba220b07c4cd1000f02b7ec)
EFREI 1A TOP - TP1;EX05 - Affectations successives (5ba220ac7c4cd1000f02b7e8)
EFREI 1A TOP - TP1;EX06 - Transposition (5ba220aa7c4cd1000f02b7e4)
EFREI 1A TOP - TP1;EX07 - Fibonacci (5ba220a87c4cd1000f02b7df)
EFREI 1A TOP - TP2;EX01 - Comparaisons (5ba220a37c4cd1000f02b7d3)
EFREI 1A TOP - TP2;EX02 - Intervalle (5ba220a67c4cd1000f02b7d7)
EFREI 1A TOP - TP2;EX03 - Âge et sexe (5ba2209f7c4cd1000f02b7cb)
EFREI 1A TOP - TP2;EX04 - Conjonction, Disjonction, Exclusivité (5ba220a17c4cd1000f02b7cf)
EFREI 1A TOP - TP2;EX05 - Calculatrice (5ba2209d7c4cd1000f02b7c7)
EFREI 1A TOP - TP2;EX06 - Jeu de la vie (5ba220997c4cd1000f02b7be)
EFREI 1A TOP - TP2;EX07 - Équations du second degré (5ba2209b7c4cd1000f02b7c3)
EFREI 1A TOP - TP3;EX01 - Menu principal d'un programme (5ba21ffe11cd9d0010237576)
EFREI 1A TOP - TP3;EX02 - Nombre secret (5ba21ffc11cd9d0010237572)
EFREI 1A TOP - TP3;EX03 - PGCD (5ba21ffa11cd9d001023756e)
EFREI 1A TOP - TP3;EX04 - PPCM (5ba21ff711cd9d0010237566)
EFREI 1A TOP - TP3;EX05 - Somme (5ba21ff811cd9d001023756a)
EFREI 1A TOP - TP3;EX06 - Nombre premier (5ba21ff111cd9d001023755a)
EFREI 1A TOP - TP3;EX07 - Nombre parfait (5ba21fef11cd9d0010237555)
EFREI 1A TOP - TP3;EX08 - Affichage d'un triangle (5ba21ff211cd9d001023755e)
EFREI 1A TOP - TP3;EX09 - Affichage d'une suite de triangles (5ba21ff411cd9d0010237562)
EFREI 1A TOP - TP4;EX01 - Fonction puissance (5be8a8ac2b64cd00103b2334)
EFREI 1A TOP - TP4;EX02 - Calculatrice (5be8a8af2b64cd00103b2338)
EFREI 1A TOP - TP4;EX03 - Calculatrice explicative (5be8a8b62b64cd00103b2344)
EFREI 1A TOP - TP4;EX04 - Fonction carré (5be8a8b12b64cd00103b233c)
EFREI 1A TOP - TP4;EX05 - Maximum (5be8a8aa2b64cd00103b2330)
EFREI 1A TOP - TP4;EX06 - Moyenne (5be8a8b42b64cd00103b2340)
EFREI 1A TOP - TP4;EX07 - Ordre alphabétique (5be8a8a82b64cd00103b232c)
EFREI 1A TOP - TP4;EX08 - Compression (5be8a8a52b64cd00103b2327)
EFREI 1A TOP - TP4;EX09 - Hexadecimal (5bfb23b6d1dfa20011d45d88)
EFREI 1A TOP - TP5;EX01 - Calcul du nombre d'occurences (5bfb23c8d1dfa20011d45d9d)
EFREI 1A TOP - TP5;EX02 - Moyenne sur plusieurs séries de nombres (5bfb23c4d1dfa20011d45d95)
EFREI 1A TOP - TP5;EX03 - Triangle de Pascal (5bfb23c2d1dfa20011d45d90)
EFREI 1A TOP - TP5;EX04 - Table de multiplication (5bfb23c6d1dfa20011d45d99)
EFREI 1A TOP - TP5;EX05 - Carré magique (5bfb23cbd1dfa20011d45da1)
